127.0.0.1 - - [23/Aug/2023:11:44:45 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:44:48 +0530] "GET /project_3/ HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:44:48 +0530] "GET /project_3/img/Ai28.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:44:48 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:44:52 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3933
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:44:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:44:58 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 10256
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:44:58 +0530] "GET /img/logo.png HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:45:15 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:45:15 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:45:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:45:20 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 13532
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:07:55 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 10466
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:09:17 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:09:18 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12382
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:09:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:09:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:35:04 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:35:19 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3933
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:35:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:35:36 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3933
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:35:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:36:55 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 10256
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:36:59 +0530] "GET /project_3/LoginCtl?id=15 HTTP/1.1" 200 10351
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:37:01 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:37:01 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:37:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:37:11 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 13532
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:38:19 +0530] "GET /project_3/ctl/GetMarksheetCtl HTTP/1.1" 200 11176
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:38:19 +0530] "GET /project_3/img/wback.jpg HTTP/1.1" 200 946405
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:38:27 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 13532
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:38:34 +0530] "GET /project_3/ctl/GetMarksheetCtl HTTP/1.1" 200 11176
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:38:44 +0530] "POST /project_3/ctl/GetMarksheetCtl HTTP/1.1" 200 12934
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:39:05 +0530] "GET /project_3/ctl/GetMarksheetCtl HTTP/1.1" 200 11176
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:40:04 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 13532
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:45:58 +0530] "POST /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:45:58 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:45:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:48:22 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:48:22 +0530] "GET /project_3/img/Ai19.webp HTTP/1.1" 200 51174
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:48:41 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:48:54 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:48:54 +0530] "GET /project_3/img/Ai17.webp HTTP/1.1" 200 90336
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:51:30 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:51:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:52:33 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:52:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:52:33 +0530] "GET /project_3/img/Ai15.webp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:52:56 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:52:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:12:52:56 +0530] "GET /project_3/img/Ai18.webp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:00:53 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:00:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:01:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:01:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:01:41 +0530] "GET /project_3/img/Ai18.jpeg HTTP/1.1" 200 7498
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:02:00 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:02:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:02:29 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10037
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:02:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:02:29 +0530] "GET /project_3/img/Ai20.jpg HTTP/1.1" 200 193100
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:03:26 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:03:51 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10037
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:03:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:03:51 +0530] "GET /project_3/img/Ai21.jpg HTTP/1.1" 200 332182
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:04:11 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:04:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:04:11 +0530] "GET /project_3/img/Ai22.webp HTTP/1.1" 200 108546
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:05:02 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:05:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:05:02 +0530] "GET /project_3/img/Ai23.jpeg HTTP/1.1" 200 7401
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:05:23 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:05:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:05:23 +0530] "GET /project_3/img/Ai24.webp HTTP/1.1" 200 128122
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:06:02 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:06:44 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:07:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:07:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:07:07 +0530] "GET /project_3/img/Ai26.webp HTTP/1.1" 200 57728
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:07:21 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:07:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:07:21 +0530] "GET /project_3/img/Ai27.webp HTTP/1.1" 200 73462
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:07:52 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:08:32 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:08:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:09:14 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10037
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:09:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:09:14 +0530] "GET /project_3/img/Ai29.jpg HTTP/1.1" 200 567307
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:09:35 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10036
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:09:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:09:35 +0530] "GET /project_3/img/Ai3.jpg HTTP/1.1" 200 1651443
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:10:34 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10037
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:10:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:10:34 +0530] "GET /project_3/img/Ai30.jpg HTTP/1.1" 200 381599
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:10:57 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:10:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:10:57 +0530] "GET /project_3/img/Ai31.webp HTTP/1.1" 200 191948
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:11:24 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:11:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:17:38 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:17:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:18:10 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:18:20 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:18:34 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:18:44 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:18:54 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:19:10 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:19:22 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:19:48 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:19:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:22:39 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:22:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:26:08 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10037
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:26:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:26:37 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10036
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:26:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:26:51 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 10464
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:27:45 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 10470
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:27:58 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3937
0:0:0:0:0:0:0:1 - - [23/Aug/2023:13:27:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
